fitness_sharpe_fixed_threshold,expression,depth,length,factor_order_in_model,sym,freq,y_train_ret_period,start_date_train,end_date_train,start_date_test,end_date_test,metric,current_time,fitness_avg_pic_train,fitness_avg_pic_test,fitness_avg_sic_train,fitness_avg_sic_test,fitness_calmar_train,fitness_calmar_test,fitness_sharp_train,fitness_sharp_test,fitness_sharpe_fixed_threshold_train,fitness_sharpe_fixed_threshold_test,fitness_sharpe_std_threshold_train,fitness_sharpe_std_threshold_test,fitness_max_dd_train,fitness_max_dd_test,fitness_avg_mdd_train,fitness_avg_mdd_test,fitness_max_ic_train,fitness_max_ic_test,max_ic_train_check,given_ic_test
,"inv(ta_lr_slope_20(ta_minus_di_25(ts_sum_8(bar_ofi_signed_quote_sum_w10_mean), ta_minus_dm_14(bar_ofi_signed_qty_sum_w10_mean, bar_ofi_signed_quote_sum_w10_trend), bar_ofi_signed_quote_sum_w10_momentum)))",4,9,alpha_2901,BTCUSDT,1h,1,2025-01-01,2025-01-10,2025-01-10,2025-01-20,sharpe_fixed_threshold,20251009115153,0.05803073622768384,-0.02778581763772664,0.01950959175067763,0.018062677310533078,77.63958322288433,63.327194022507804,7.221937882413077,7.228795566535028,,,,,-0.6062414230420288,-1.7770068478062484,-0.17060335362621645,-1.0215597498181015,0.21990351,0.16100551,0.21990351,
,ta_lr_slope_10(ts_mean_return_10(ta_lr_slope_5(ta_rocr_14(ta_ema_21(bar_ofi_signed_quote_sum_w10_momentum))))),5,6,alpha_2902,BTCUSDT,1h,1,2025-01-01,2025-01-10,2025-01-10,2025-01-20,sharpe_fixed_threshold,20251009115153,0.08957379377358654,-0.10712837580919395,0.08503908827668769,-0.10708380373425967,89.0967888317726,-30.31076650414987,8.124669765442812,-10.971240249739205,,,,,-0.051196066759904665,-0.3078270371771833,-0.019864189279819887,-0.07021838261469901,0.16840450999999998,0.10510451,0.16840450999999998,0.03241106719367589
,"ta_aroonosc_25(TA_HT_DCPHASE(bar_gof_by_volume_w10_trend), TA_HT_DCPERIOD(ta_lr_slope_5(ts_min_10(TA_BOP(bar_ofi_signed_quote_sum_w10_zscore, bar_gof_by_count_w10_trend, bar_ofi_signed_quote_sum_w10_std, bar_ofi_signed_qty_sum_w10_trend)))))",5,11,alpha_2903,BTCUSDT,1h,1,2025-01-01,2025-01-10,2025-01-10,2025-01-20,sharpe_fixed_threshold,20251009115153,-0.09905458049252731,-0.12477893003801384,-0.10643083494066159,-0.14687373925627173,-23.6407282022782,-23.22684057887997,-6.110061879542336,-5.050045168492888,,,,,-0.20645963217507635,-0.34702596779591066,-0.05393682445470893,-0.14023858513316356,0.2508015,0.13970149999999998,0.2508015,
,"ts_skew_10(ta_dx_14(ta_dema_55(bar_gof_by_volume_w10_std), ts_lag_17(ta_rocr_25(bar_gof_by_volume_w10_mean)), ta_lr_angle_5(bar_gof_by_volume_w10_std)))",4,9,alpha_2904,BTCUSDT,1h,1,2025-01-01,2025-01-10,2025-01-10,2025-01-20,sharpe_fixed_threshold,20251009115153,,-0.03851330522244985,,-0.0294159791576205,5.29102550666699,-30.51241314072322,0.9752567815412302,-5.789319488052368,,,,,-0.14223302861660767,-0.14121661047643108,-0.04729036112232149,-0.06261685504085027,0.1835055,0.16570549999999998,0.1835055,0.16862170087976538
,"ta_aroonosc_25(ts_rank_20(ta_trima_21(bar_ofi_signed_quote_sum_w10_momentum)), ta_lr_angle_5(ts_sum_17(TA_BOP(bar_gof_by_count_w10_trend, bar_ofi_signed_qty_sum_w10_mean, bar_ofi_signed_qty_sum_w10_mean, bar_ofi_signed_quote_sum_w10_quantile))))",4,11,alpha_2905,BTCUSDT,1h,1,2025-01-01,2025-01-10,2025-01-10,2025-01-20,sharpe_fixed_threshold,20251009115153,-0.11287208438103694,-0.0493030932512377,-0.06636014242267654,-0.018814987272096673,-5.32388150696825,-0.8350660870039991,-1.5300902453343155,-0.13033319484969352,,,,,-0.25128058620273536,-0.2568784477760369,-0.07278588842128755,-0.11744219291574454,0.0984055,0.31780250000000004,0.0984055,-0.4833109259845584
,"ts_prod_3(TA_BOP(ta_beta_10(bar_gof_by_volume_w10_trend, bar_gof_by_count_w10_std), ta_minus_di_14(bar_gof_by_volume_w10_std, bar_ofi_signed_quote_sum_w10_momentum, bar_gof_by_volume_w10_mean), ts_max_5(bar_ofi_signed_quote_sum_w10_mean), ta_trima_8(bar_ofi_signed_quote_sum_w10_mean)))",3,13,alpha_2906,BTCUSDT,1h,1,2025-01-01,2025-01-10,2025-01-10,2025-01-20,sharpe_fixed_threshold,20251009115153,-0.0728355965320635,-0.026923763854482675,-0.11159501278099429,-0.20053100630879844,-41.92306056231237,-27.19639751717533,-8.503473314964758,-8.661025669544726,,,,,-0.019357861306218697,-0.000911883389328266,-0.003952679529677232,-0.00021939487421735612,0.1937015,0.09080550000000001,0.1937015,-0.08235294117647059
,"ts_rank_10(ts_rank_20(mul(ta_rocp_14(ts_skew_40(bar_gof_by_volume_w10_std)), ts_min_10(ta_tema_21(ts_kurt_20(bar_ofi_signed_quote_sum_w10_zscore))))))",6,10,alpha_2907,BTCUSDT,1h,1,2025-01-01,2025-01-10,2025-01-10,2025-01-20,sharpe_fixed_threshold,20251009115153,0.061837299628397444,-0.039487166792526694,0.05113578074774368,-0.038924446374294396,-5.0952683676486705,-14.374598947857782,-1.3849132657841978,-2.6751421433877076,,,,,-0.26727536053388073,-0.23271907939572678,-0.06995036906285751,-0.09866209978567536,0.17410451,0.1351035,0.17410451,
,ts_max_10(ts_min_5(ts_rank_5(ts_argrange_10(bar_ofi_signed_quote_sum_w10_momentum)))),4,5,alpha_2908,BTCUSDT,1h,1,2025-01-01,2025-01-10,2025-01-10,2025-01-20,sharpe_fixed_threshold,20251009115153,-0.007448312079004399,0.0446825310394908,-0.018448891256198474,-0.03984064264003474,-17.322310353425003,8.92241243845792,-5.534500204799849,1.4579584575686895,,,,,-0.42374947596043516,-0.32983845462285794,-0.10773537162462694,-0.12346511687825448,0.2387045,0.009704500000000001,0.2387045,0.0033352773930159646
,"TS_CORR_20(ta_lr_angle_5(ts_range_5(ta_minus_di_14(bar_ofi_signed_quote_sum_w10_quantile, bar_gof_by_volume_w10_trend, bar_gof_by_volume_w10_mean))), ta_lr_intercept_20(ts_wma_8(bar_ofi_signed_qty_sum_w10_mean)))",4,10,alpha_2909,BTCUSDT,1h,1,2025-01-01,2025-01-10,2025-01-10,2025-01-20,sharpe_fixed_threshold,20251009115153,-0.13839886025333178,-0.023199661777946058,-0.14616287790187155,-0.027180633955709937,-25.029130171866907,-11.886028957100335,-6.6883670619476625,-3.616861946571779,,,,,-0.1959609563349553,-0.21571310916851977,-0.061360752419655454,-0.05847069329134047,0.024201510000000002,0.06650251,0.024201510000000002,-0.22220166512488432
,"ta_rocp_25(TS_COV_20(ts_range_20(ts_mean_return_5(ts_lag_8(bar_gof_by_volume_w10_std))), cos(ta_dema_55(ta_trix_21(bar_ofi_signed_qty_sum_w10_mean)))))",5,10,alpha_2910,BTCUSDT,1h,1,2025-01-01,2025-01-10,2025-01-10,2025-01-20,sharpe_fixed_threshold,20251009115153,,-0.054021878935384945,,-0.033924446374294405,-12.129701364619581,-27.245748462272832,-2.035196831579719,-8.06165609158993,,,,,-0.16858079290086103,-0.38308735338886407,-0.03632318563434635,-0.08299538360390264,0.06360351,0.01730251,0.06360351,
