,expression
126,"TA_TRANGE(abs(ta_beta_10(min(bar_ofi_signed_quote_sum_w10_zscore, bar_gof_by_volume_w10_trend), ts_argrange_20(bar_ofi_signed_quote_sum_w10_zscore))), ts_mean_return_5(neg(TS_CORR_40(bar_ofi_signed_qty_sum_w10_std, bar_gof_by_volume_w10_std))), ta_minus_dm_14(max(ts_min_20(bar_ofi_signed_quote_sum_w10_mean), max(bar_ofi_signed_qty_sum_w10_mean, bar_gof_by_count_w10_trend)), ta_ema_8(ta_dema_8(bar_gof_by_volume_w10_mean))))"
127,ts_skew_20(ts_sum_17(cos(bar_ofi_signed_quote_sum_w10_trend)))
128,"ta_lr_slope_5(ta_dema_8(ts_skew_10(TA_TRANGE(ta_cmo_14(bar_ofi_signed_qty_sum_w10_trend), ta_lr_angle_20(bar_ofi_signed_quote_sum_w10_zscore), ts_delta_3(bar_ofi_signed_quote_sum_w10_mean)))))"
129,"TA_TRANGE(inv(ta_mom_25(ts_std_10(bar_ofi_signed_quote_sum_w10_std))), ts_max_10(ts_wma_55(ts_kurt_20(bar_gof_by_volume_w10_std))), ts_min_20(ts_mean_return_5(ta_cci_14(bar_ofi_signed_quote_sum_w10_quantile, bar_ofi_signed_qty_sum_w10_std, bar_gof_by_count_w10_trend))))"
130,"ts_lag_3(mul(ta_rocr_25(bar_gof_by_volume_w10_mean), add(bar_ofi_signed_qty_sum_w10_trend, bar_ofi_signed_qty_sum_w10_trend)))"
131,ts_argrange_5(ta_mom_25(abs(bar_ofi_signed_quote_sum_w10_trend)))
132,"ts_skew_20(ta_minus_di_25(ta_lr_intercept_20(bar_gof_by_count_w10_std), ta_beta_20(bar_gof_by_count_w10_trend, bar_gof_by_volume_w10_trend), ta_mom_12(bar_gof_by_volume_w10_mean)))"
133,"TA_BOP(ts_lag_17(bar_gof_by_count_w10_mean), ts_range_20(bar_ofi_signed_quote_sum_w10_std), ta_tema_8(bar_ofi_signed_quote_sum_w10_std), ta_cci_14(bar_ofi_signed_quote_sum_w10_momentum, bar_ofi_signed_quote_sum_w10_mean, bar_ofi_signed_quote_sum_w10_momentum))"
134,"ta_beta_10(ta_lr_intercept_10(bar_ofi_signed_quote_sum_w10_quantile), ta_rsi_12(ta_lr_slope_20(TA_SAR(bar_ofi_signed_quote_sum_w10_quantile, bar_ofi_signed_qty_sum_w10_mean))))"
135,ts_kurt_10(ts_argmin_5(ta_trix_21(sqrt(ts_argmax_5(bar_gof_by_count_w10_trend)))))
136,abs(ta_rocp_14(bar_ofi_signed_quote_sum_w10_zscore))
137,ta_lr_angle_5(ta_tsf_5(ta_lr_angle_10(ts_argmax_10(bar_ofi_signed_quote_sum_w10_zscore))))
138,sin(inv(ta_tsf_10(bar_ofi_signed_quote_sum_w10_zscore)))
139,"TA_BOP(ta_cmo_25(bar_gof_by_volume_w10_mean), cos(bar_ofi_signed_quote_sum_w10_zscore), div(bar_gof_by_count_w10_std, bar_ofi_signed_quote_sum_w10_trend), ta_tema_55(bar_ofi_signed_quote_sum_w10_zscore))"
140,"div(ts_argmin_5(ta_trima_21(ts_std_40(ta_cmo_25(bar_gof_by_count_w10_trend)))), ts_sum_3(ts_prod_8(ts_argrange_5(bar_ofi_signed_quote_sum_w10_mean))))"
141,"ta_mom_25(sin(ta_beta_10(bar_ofi_signed_quote_sum_w10_std, bar_gof_by_count_w10_std)))"
142,"sub(ta_ema_55(ta_lr_angle_20(ta_atr_25(bar_ofi_signed_qty_sum_w10_mean, bar_gof_by_volume_w10_trend, bar_ofi_signed_quote_sum_w10_trend))), ts_max_20(ts_mean_return_5(ts_range_20(bar_gof_by_volume_w10_mean))))"
143,"ta_aroonosc_25(ts_argrange_5(inv(ta_dema_21(bar_ofi_signed_qty_sum_w10_std))), ta_beta_10(ta_aroonosc_25(ta_dema_55(bar_ofi_signed_quote_sum_w10_mean), ta_rocp_14(bar_gof_by_count_w10_std)), ts_delta_17(bar_ofi_signed_quote_sum_w10_momentum)))"
144,ts_rank_5(ta_rocr_14(ts_kurt_40(bar_gof_by_count_w10_std)))
145,"ta_beta_10(ts_mean_return_10(bar_ofi_signed_quote_sum_w10_momentum), sin(bar_ofi_signed_qty_sum_w10_mean))"
146,ts_argmin_10(ta_rocp_25(ta_dema_55(ts_argrange_10(ts_skew_40(bar_gof_by_count_w10_mean)))))
147,"ts_argrange_5(ts_mean_return_20(ts_wma_55(ta_cci_25(bar_ofi_signed_quote_sum_w10_trend, bar_gof_by_count_w10_trend, bar_gof_by_volume_w10_mean))))"
148,"cos(TA_TRANGE(bar_gof_by_count_w10_mean, bar_gof_by_volume_w10_mean, ts_argmin_20(bar_gof_by_count_w10_trend)))"
149,ts_argmin_20(ts_range_5(ta_rocr_25(ta_mom_25(bar_gof_by_volume_w10_std))))
150,ts_argmax_10(ta_rsi_6(ts_range_10(inv(ts_kurt_10(ts_range_20(bar_ofi_signed_qty_sum_w10_mean))))))
151,"ts_delta_17(TA_SAR(sub(ts_min_10(bar_ofi_signed_quote_sum_w10_trend), ts_max_20(bar_gof_by_volume_w10_mean)), ts_kurt_20(ts_argmin_10(bar_ofi_signed_qty_sum_w10_trend))))"
152,"TA_TRANGE(TS_CORR_40(ts_sma_21(bar_ofi_signed_qty_sum_w10_mean), ts_wma_21(bar_gof_by_count_w10_std)), bar_gof_by_volume_w10_mean, ts_skew_20(TA_HT_DCPHASE(bar_ofi_signed_qty_sum_w10_mean)))"
153,"ta_rocp_14(ts_min_10(ts_sma_21(ts_argrange_20(max(bar_ofi_signed_quote_sum_w10_zscore, bar_ofi_signed_qty_sum_w10_trend)))))"
154,"ta_lr_slope_20(ta_mfi_14(ts_lag_3(ts_wma_21(bar_gof_by_volume_w10_trend)), ta_rocp_25(ta_dema_8(bar_gof_by_volume_w10_trend)), ts_argmin_10(ts_argrange_20(bar_ofi_signed_quote_sum_w10_std)), ta_lr_slope_5(ts_delta_3(bar_gof_by_count_w10_std))))"
155,ta_lr_angle_5(ts_max_20(bar_ofi_signed_quote_sum_w10_quantile))
156,ts_argmax_20(ta_cmo_14(ts_kurt_10(ts_max_10(ta_tsf_10(bar_gof_by_count_w10_mean)))))
157,ts_prod_3(ts_kurt_10(bar_gof_by_count_w10_mean))
158,ts_rank_20(ts_range_5(bar_gof_by_volume_w10_std))
159,"ta_beta_20(ta_aroonosc_25(ts_range_20(bar_ofi_signed_qty_sum_w10_mean), ts_lag_8(bar_ofi_signed_quote_sum_w10_trend)), elu(ts_argrange_5(ta_cmo_25(bar_ofi_signed_quote_sum_w10_momentum))))"
160,inv(ta_trima_8(ta_rocp_14(bar_gof_by_count_w10_trend)))
161,"ta_beta_10(ts_min_10(ta_lr_angle_10(div(ts_argmax_5(bar_ofi_signed_quote_sum_w10_trend), ta_dx_25(bar_gof_by_count_w10_std, bar_ofi_signed_quote_sum_w10_quantile, bar_gof_by_count_w10_std)))), ta_tsf_10(ta_dx_14(max(ta_lr_slope_20(ts_delta_3(bar_ofi_signed_qty_sum_w10_std)), ta_rocp_25(bar_ofi_signed_quote_sum_w10_mean)), ta_cmo_14(ta_willr_14(bar_ofi_signed_quote_sum_w10_trend, bar_gof_by_count_w10_mean, bar_ofi_signed_qty_sum_w10_std)), ta_lr_intercept_20(ta_lr_intercept_10(bar_ofi_signed_quote_sum_w10_zscore)))))"
162,"ta_cmo_25(ts_range_5(ta_rsi_6(min(ts_sma_8(ts_max_20(bar_gof_by_volume_w10_trend)), ts_std_20(bar_ofi_signed_quote_sum_w10_momentum)))))"
163,"TA_SAR(ts_sum_17(ta_lr_intercept_20(bar_ofi_signed_qty_sum_w10_std)), ts_skew_20(ts_skew_40(bar_gof_by_volume_w10_mean)))"
164,"ta_mfi_25(ta_trix_55(bar_ofi_signed_quote_sum_w10_trend), bar_ofi_signed_quote_sum_w10_mean, bar_ofi_signed_qty_sum_w10_mean, ts_skew_40(ts_min_5(bar_ofi_signed_quote_sum_w10_trend)))"
165,ta_lr_angle_10(inv(ts_sma_8(bar_gof_by_count_w10_mean)))
166,"ta_lr_angle_5(TS_CORR_40(bar_gof_by_volume_w10_mean, bar_ofi_signed_quote_sum_w10_std))"
167,"ta_tsf_20(ta_lr_angle_10(ta_mfi_14(log(bar_ofi_signed_quote_sum_w10_std), ts_sma_8(ts_lag_8(ta_cci_25(bar_gof_by_count_w10_std, bar_gof_by_count_w10_std, bar_gof_by_count_w10_trend))), ts_skew_20(bar_gof_by_count_w10_std), ta_ema_8(bar_ofi_signed_quote_sum_w10_quantile))))"
168,"ts_argmax_20(TS_COV_20(sub(ta_dema_21(ts_lag_3(bar_gof_by_count_w10_trend)), ts_skew_40(TA_HT_DCPHASE(bar_ofi_signed_quote_sum_w10_momentum))), ta_rocr_25(ts_sma_21(TA_BOP(bar_gof_by_count_w10_trend, bar_ofi_signed_quote_sum_w10_momentum, bar_gof_by_count_w10_mean, bar_gof_by_count_w10_mean)))))"
169,"ts_argrange_10(div(ta_beta_10(ta_minus_di_25(bar_gof_by_count_w10_mean, bar_gof_by_volume_w10_mean, bar_gof_by_count_w10_mean), ta_cmo_25(bar_gof_by_volume_w10_std)), abs(ta_rocp_14(ts_rank_20(ts_argmax_10(ts_sma_21(bar_ofi_signed_quote_sum_w10_trend)))))))"
170,"ts_delta_8(ts_lag_17(ts_max_10(ts_std_10(ta_minus_di_14(bar_ofi_signed_qty_sum_w10_mean, bar_ofi_signed_quote_sum_w10_trend, bar_ofi_signed_qty_sum_w10_mean)))))"
171,"ts_argmin_5(ts_prod_8(ts_min_5(ta_trima_21(TS_CORR_20(ts_max_5(ts_rank_20(bar_ofi_signed_qty_sum_w10_std)), sqrt(neg(bar_ofi_signed_quote_sum_w10_std)))))))"
172,ts_range_5(ta_dema_8(ts_mean_return_5(ta_mom_25(bar_ofi_signed_qty_sum_w10_mean))))
173,"ta_beta_10(ta_dx_25(ta_cmo_25(bar_gof_by_volume_w10_mean), ts_argmax_5(bar_gof_by_volume_w10_std), ts_kurt_10(bar_gof_by_count_w10_mean)), ts_rank_10(ts_min_10(bar_gof_by_count_w10_std)))"
174,ts_kurt_20(ta_tema_8(ts_min_10(bar_gof_by_count_w10_std)))
175,ts_prod_8(ts_skew_20(ts_wma_21(bar_gof_by_volume_w10_std)))
176,"ts_prod_8(ts_mean_return_20(ta_rocp_25(ta_mfi_25(bar_gof_by_count_w10_std, bar_ofi_signed_quote_sum_w10_quantile, bar_ofi_signed_quote_sum_w10_mean, bar_ofi_signed_qty_sum_w10_mean))))"
177,"ta_beta_20(ta_dema_8(ts_lag_8(TA_HT_DCPERIOD(ts_argrange_10(bar_ofi_signed_qty_sum_w10_mean)))), inv(ts_lag_8(ts_kurt_10(bar_ofi_signed_qty_sum_w10_std))))"
178,"ta_aroonosc_14(ts_mean_return_20(ts_max_5(ts_rank_10(ta_mom_12(sqrt(ts_max_10(bar_gof_by_count_w10_mean)))))), bar_gof_by_volume_w10_trend)"
179,"neg(TA_BOP(ts_rank_20(ts_rank_10(bar_gof_by_count_w10_trend)), ta_trima_8(ts_kurt_20(bar_ofi_signed_quote_sum_w10_std)), elu(ta_lr_slope_20(bar_gof_by_volume_w10_mean)), ts_argmax_20(ts_kurt_10(bar_gof_by_count_w10_trend))))"
180,"sin(ta_cmo_14(ta_cmo_25(add(div(bar_gof_by_count_w10_std, bar_gof_by_count_w10_mean), ts_rank_5(bar_ofi_signed_quote_sum_w10_mean)))))"
181,"mul(ts_argmax_10(ta_lr_intercept_5(ta_dema_55(bar_gof_by_count_w10_mean))), ta_dema_8(ta_mom_12(min(bar_ofi_signed_quote_sum_w10_quantile, bar_ofi_signed_quote_sum_w10_trend))))"
182,ta_mom_12(bar_ofi_signed_quote_sum_w10_trend)
183,"ts_range_5(ta_lr_slope_10(ta_minus_dm_14(ta_trima_8(bar_gof_by_volume_w10_trend), ts_sum_17(bar_ofi_signed_qty_sum_w10_trend))))"
184,ts_delta_3(ts_min_5(ts_delta_17(cos(ts_argrange_20(bar_ofi_signed_qty_sum_w10_trend)))))
185,"tan(TS_CORR_40(ts_max_20(bar_ofi_signed_qty_sum_w10_mean), ts_argrange_10(bar_gof_by_volume_w10_trend)))"
186,"ta_mom_25(ta_cci_25(ta_trix_55(inv(bar_ofi_signed_quote_sum_w10_momentum)), ts_delta_8(bar_gof_by_volume_w10_trend), ta_lr_angle_10(ta_mfi_25(bar_ofi_signed_quote_sum_w10_trend, bar_ofi_signed_quote_sum_w10_quantile, bar_ofi_signed_quote_sum_w10_std, bar_ofi_signed_qty_sum_w10_mean))))"
187,ts_argrange_10(ta_rocp_14(ts_argmin_20(bar_ofi_signed_quote_sum_w10_zscore)))
188,"mul(ta_tsf_5(abs(TS_CORR_40(bar_gof_by_volume_w10_trend, bar_gof_by_count_w10_mean))), ts_lag_3(div(ts_sma_55(abs(bar_gof_by_count_w10_mean)), ta_minus_dm_14(ts_min_20(bar_ofi_signed_quote_sum_w10_mean), ta_minus_di_25(bar_ofi_signed_quote_sum_w10_quantile, bar_gof_by_count_w10_trend, bar_gof_by_volume_w10_mean)))))"
189,neg(ts_argmax_5(elu(log(bar_gof_by_count_w10_mean))))
190,"ta_lr_angle_5(ts_sma_8(min(ts_argmin_20(bar_gof_by_volume_w10_mean), ta_mfi_14(bar_ofi_signed_quote_sum_w10_mean, bar_ofi_signed_quote_sum_w10_momentum, bar_ofi_signed_quote_sum_w10_zscore, bar_gof_by_count_w10_mean))))"
191,"ta_beta_5(bar_ofi_signed_quote_sum_w10_momentum, ts_lag_3(bar_ofi_signed_quote_sum_w10_std))"
192,"ts_rank_5(TS_COV_20(tan(bar_ofi_signed_quote_sum_w10_mean), ts_argmin_5(bar_gof_by_count_w10_trend)))"
193,ts_kurt_10(ta_rsi_6(bar_gof_by_volume_w10_trend))
194,"ta_mfi_14(ta_trima_8(ts_sum_17(ts_argrange_20(ta_aroonosc_14(bar_gof_by_count_w10_mean, bar_ofi_signed_quote_sum_w10_momentum)))), ta_ema_21(ts_skew_10(TA_TRANGE(ts_prod_17(bar_gof_by_count_w10_std), ts_sum_17(bar_ofi_signed_qty_sum_w10_mean), ta_cci_25(bar_ofi_signed_qty_sum_w10_trend, bar_ofi_signed_qty_sum_w10_mean, bar_ofi_signed_quote_sum_w10_quantile)))), ta_rsi_6(ta_tsf_10(ts_prod_17(ta_dema_55(bar_ofi_signed_qty_sum_w10_mean)))), ta_lr_slope_10(ts_min_10(ta_cci_14(ts_range_5(bar_gof_by_count_w10_trend), ta_beta_5(bar_ofi_signed_quote_sum_w10_std, bar_gof_by_count_w10_trend), ta_mfi_25(bar_ofi_signed_quote_sum_w10_std, bar_ofi_signed_qty_sum_w10_trend, bar_ofi_signed_quote_sum_w10_zscore, bar_ofi_signed_qty_sum_w10_trend)))))"
195,"sub(TS_CORR_20(ts_argmax_10(bar_ofi_signed_qty_sum_w10_mean), ta_ema_21(bar_gof_by_count_w10_trend)), ta_dema_21(ts_rank_10(bar_ofi_signed_qty_sum_w10_mean)))"
196,tan(ts_argrange_20(ts_std_40(ts_kurt_10(ts_lag_17(bar_gof_by_volume_w10_trend)))))
197,"ta_lr_slope_10(tan(ta_willr_25(TA_BOP(bar_gof_by_volume_w10_std, bar_gof_by_volume_w10_mean, bar_gof_by_count_w10_trend, bar_ofi_signed_quote_sum_w10_trend), TA_BOP(bar_ofi_signed_qty_sum_w10_trend, bar_gof_by_volume_w10_mean, bar_ofi_signed_qty_sum_w10_mean, bar_ofi_signed_quote_sum_w10_momentum), ts_wma_55(bar_ofi_signed_quote_sum_w10_momentum))))"
198,"ta_cci_14(TA_HT_DCPHASE(ta_dema_21(ts_argrange_5(bar_gof_by_volume_w10_trend))), ts_range_5(ta_ema_8(ta_trix_55(bar_ofi_signed_quote_sum_w10_quantile))), ts_std_20(ta_ema_21(ta_atr_14(bar_ofi_signed_quote_sum_w10_mean, bar_ofi_signed_qty_sum_w10_trend, bar_gof_by_volume_w10_mean))))"
199,ta_lr_slope_10(ta_lr_slope_10(ta_lr_intercept_10(ts_rank_10(bar_ofi_signed_quote_sum_w10_momentum))))
200,ta_lr_angle_10(ts_prod_17(bar_gof_by_count_w10_std))
201,ts_prod_3(ts_argrange_10(ts_argmax_10(ts_argrange_10(bar_ofi_signed_qty_sum_w10_std))))
202,"ts_argrange_20(ta_minus_di_14(ts_argmin_20(bar_gof_by_volume_w10_trend), ts_lag_8(bar_ofi_signed_quote_sum_w10_std), ta_minus_dm_14(bar_gof_by_count_w10_trend, bar_ofi_signed_quote_sum_w10_zscore)))"
203,"ts_argmax_10(ts_min_5(ta_lr_angle_10(ta_dx_25(ta_cmo_25(bar_ofi_signed_quote_sum_w10_mean), ta_ema_8(bar_ofi_signed_quote_sum_w10_momentum), bar_gof_by_count_w10_mean))))"
204,log(ts_skew_10(ts_rank_10(ta_mom_25(ts_mean_return_5(bar_gof_by_volume_w10_mean)))))
205,"ts_delta_17(ta_aroonosc_14(ts_std_20(ta_cmo_14(ta_lr_slope_20(max(tan(bar_gof_by_count_w10_trend), ta_tsf_10(bar_ofi_signed_quote_sum_w10_mean))))), ta_tema_55(inv(bar_gof_by_count_w10_trend))))"
206,"ta_lr_slope_5(log(tanh(ts_rank_20(ts_delta_17(ta_minus_dm_25(bar_gof_by_volume_w10_trend, bar_ofi_signed_qty_sum_w10_trend))))))"
207,"div(ts_range_10(ts_argmin_20(ts_delta_17(bar_gof_by_volume_w10_mean))), abs(ta_tsf_10(ta_minus_dm_14(bar_ofi_signed_quote_sum_w10_zscore, bar_gof_by_count_w10_mean))))"
208,"add(log(ta_lr_angle_20(bar_gof_by_count_w10_std)), cos(abs(bar_gof_by_volume_w10_std)))"
209,ts_argrange_5(ts_rank_5(ts_wma_21(bar_ofi_signed_quote_sum_w10_momentum)))
210,"ts_skew_20(ts_mean_return_5(add(ta_tsf_10(ts_range_10(bar_ofi_signed_qty_sum_w10_mean)), ts_wma_21(ts_delta_8(sqrt(bar_ofi_signed_quote_sum_w10_mean))))))"
211,ts_mean_return_10(ts_argmax_20(ts_skew_40(bar_ofi_signed_quote_sum_w10_trend)))
212,"ta_lr_angle_5(ts_mean_return_5(ta_beta_10(ta_minus_di_14(ts_argmin_20(bar_ofi_signed_quote_sum_w10_mean), ta_lr_angle_10(bar_ofi_signed_qty_sum_w10_trend), ts_argmin_10(ts_mean_return_20(ta_rocr_25(bar_ofi_signed_qty_sum_w10_trend)))), ta_atr_25(TA_TRANGE(bar_gof_by_count_w10_std, bar_gof_by_volume_w10_trend, bar_gof_by_volume_w10_mean), ta_rocr_14(bar_ofi_signed_quote_sum_w10_std), ts_argrange_5(bar_ofi_signed_qty_sum_w10_mean)))))"
213,ts_kurt_10(ta_lr_angle_20(bar_gof_by_volume_w10_std))
214,ts_prod_8(elu(ts_argmax_20(bar_gof_by_count_w10_mean)))
215,ta_rocp_25(ts_range_10(ts_argmin_10(bar_ofi_signed_qty_sum_w10_std)))
216,"ta_rocp_14(ts_mean_return_5(ta_willr_14(ta_beta_10(ts_range_5(bar_gof_by_volume_w10_mean), ta_dx_14(bar_ofi_signed_quote_sum_w10_std, bar_ofi_signed_qty_sum_w10_std, bar_gof_by_count_w10_std)), ta_minus_di_25(ts_argmin_5(bar_gof_by_count_w10_mean), ts_delta_3(bar_ofi_signed_quote_sum_w10_std), ta_lr_angle_20(bar_ofi_signed_quote_sum_w10_quantile)), TA_SAR(ts_rank_10(bar_ofi_signed_qty_sum_w10_trend), TA_TRANGE(bar_ofi_signed_quote_sum_w10_mean, bar_gof_by_count_w10_trend, bar_gof_by_count_w10_trend)))))"
217,ts_sum_3(ts_range_10(ts_mean_return_5(ta_trima_21(ts_argmax_20(bar_gof_by_count_w10_mean)))))
218,"TS_COV_20(ts_sum_17(ta_tsf_10(bar_ofi_signed_qty_sum_w10_std)), ts_range_10(mul(mul(bar_gof_by_count_w10_mean, bar_gof_by_volume_w10_std), ta_lr_intercept_10(bar_ofi_signed_qty_sum_w10_std))))"
219,"ts_delta_3(ta_lr_angle_10(ta_minus_dm_14(ts_argmin_10(bar_ofi_signed_qty_sum_w10_std), ta_beta_5(bar_ofi_signed_qty_sum_w10_mean, bar_ofi_signed_quote_sum_w10_std))))"
220,"ts_argmax_10(ta_rsi_6(ta_cci_25(ts_sum_8(ts_delta_17(bar_gof_by_count_w10_std)), ts_lag_3(ts_lag_17(bar_gof_by_volume_w10_mean)), ts_prod_17(ta_dema_8(bar_ofi_signed_qty_sum_w10_trend)))))"
221,"ts_skew_40(ta_dx_25(ts_delta_3(bar_ofi_signed_quote_sum_w10_mean), ta_mfi_25(bar_ofi_signed_quote_sum_w10_trend, bar_ofi_signed_qty_sum_w10_trend, bar_ofi_signed_quote_sum_w10_mean, bar_gof_by_count_w10_mean), ta_rocp_25(bar_ofi_signed_quote_sum_w10_zscore)))"
222,"cos(ts_max_5(ts_delta_17(ta_minus_di_14(bar_ofi_signed_quote_sum_w10_quantile, bar_ofi_signed_quote_sum_w10_trend, bar_ofi_signed_qty_sum_w10_trend))))"
223,"TS_CORR_20(ta_tsf_10(ts_skew_40(ts_delta_17(bar_gof_by_count_w10_mean))), ts_min_5(ts_std_40(ta_lr_angle_10(bar_ofi_signed_qty_sum_w10_std))))"
224,"ta_beta_10(ts_min_10(ta_beta_20(ts_argmin_20(bar_gof_by_volume_w10_mean), ts_mean_return_5(bar_ofi_signed_quote_sum_w10_mean))), sub(ta_dx_14(ta_beta_20(bar_ofi_signed_quote_sum_w10_std, bar_ofi_signed_quote_sum_w10_quantile), ts_min_10(bar_ofi_signed_quote_sum_w10_std), ta_dema_55(bar_ofi_signed_quote_sum_w10_mean)), ts_argmax_20(bar_gof_by_count_w10_mean)))"
225,"ts_kurt_20(add(ts_wma_55(bar_ofi_signed_quote_sum_w10_zscore), inv(ta_dema_8(sqrt(TS_CORR_20(ta_dx_14(bar_gof_by_count_w10_trend, bar_ofi_signed_quote_sum_w10_mean, bar_gof_by_count_w10_trend), ta_dema_8(bar_gof_by_count_w10_trend)))))))"
226,"ta_beta_5(ta_minus_dm_14(ts_mean_return_5(ta_minus_di_25(bar_ofi_signed_quote_sum_w10_mean, bar_gof_by_volume_w10_mean, bar_ofi_signed_quote_sum_w10_momentum)), min(bar_ofi_signed_quote_sum_w10_trend, bar_gof_by_count_w10_std)), cos(ta_mfi_25(ts_sma_21(bar_ofi_signed_qty_sum_w10_mean), TS_COV_20(bar_gof_by_count_w10_trend, bar_ofi_signed_quote_sum_w10_zscore), ts_argrange_5(bar_gof_by_count_w10_std), ta_rocr_25(bar_ofi_signed_qty_sum_w10_trend))))"
227,"ta_willr_14(log(ta_rsi_12(bar_gof_by_volume_w10_mean)), ts_min_5(bar_gof_by_volume_w10_trend), ts_argmax_20(ts_sum_8(add(ts_prod_17(bar_ofi_signed_quote_sum_w10_quantile), TA_BOP(bar_ofi_signed_qty_sum_w10_mean, bar_ofi_signed_quote_sum_w10_quantile, bar_ofi_signed_quote_sum_w10_trend, bar_gof_by_volume_w10_std)))))"
228,tan(ts_argmin_10(ts_lag_3(bar_ofi_signed_qty_sum_w10_std)))
229,ts_skew_10(ts_argmin_5(ta_trix_8(bar_ofi_signed_qty_sum_w10_trend)))
230,"ta_beta_10(elu(ta_rocp_14(ta_trix_8(bar_ofi_signed_qty_sum_w10_std))), ta_tema_8(ts_min_20(ta_minus_di_14(ts_sum_8(ta_ema_21(bar_ofi_signed_quote_sum_w10_trend)), ts_argmax_20(mul(bar_ofi_signed_quote_sum_w10_momentum, bar_gof_by_count_w10_std)), elu(ts_argmax_5(bar_ofi_signed_qty_sum_w10_mean))))))"
231,ts_skew_10(ta_mom_25(ts_argrange_20(ts_delta_3(ta_dema_8(ta_trima_8(bar_ofi_signed_qty_sum_w10_mean))))))
232,"ta_lr_intercept_5(TS_CORR_20(TA_SAR(ta_tsf_10(ta_lr_angle_20(bar_ofi_signed_quote_sum_w10_mean)), ta_cmo_25(ta_lr_angle_10(bar_ofi_signed_qty_sum_w10_trend))), ta_dx_25(ts_std_20(ts_wma_21(bar_ofi_signed_quote_sum_w10_trend)), ts_prod_17(ta_trima_55(bar_ofi_signed_quote_sum_w10_trend)), ta_tsf_10(max(bar_ofi_signed_quote_sum_w10_mean, bar_ofi_signed_quote_sum_w10_momentum)))))"
233,ta_rocp_14(ta_rsi_24(bar_gof_by_volume_w10_trend))
234,"mul(ta_tsf_5(abs(ta_lr_intercept_10(log(bar_ofi_signed_qty_sum_w10_trend)))), ts_lag_3(div(ts_sma_55(abs(bar_gof_by_count_w10_mean)), ta_minus_dm_14(ts_min_20(bar_ofi_signed_quote_sum_w10_mean), ta_minus_di_25(bar_ofi_signed_quote_sum_w10_quantile, bar_gof_by_count_w10_trend, bar_gof_by_volume_w10_mean)))))"
235,ts_skew_10(ta_trix_8(ts_wma_21(bar_gof_by_volume_w10_trend)))
236,"ta_beta_10(ts_max_20(bar_gof_by_count_w10_trend), ts_range_20(bar_ofi_signed_quote_sum_w10_mean))"
237,"ts_argmin_5(ts_std_40(sqrt(ta_aroonosc_14(bar_gof_by_count_w10_trend, bar_ofi_signed_quote_sum_w10_trend))))"
238,"TA_BOP(ts_rank_5(ta_rsi_24(ts_skew_10(bar_ofi_signed_quote_sum_w10_std))), ts_delta_3(ta_trima_8(neg(bar_gof_by_count_w10_std))), sub(ta_dema_8(TA_BOP(bar_gof_by_count_w10_std, bar_ofi_signed_quote_sum_w10_std, bar_ofi_signed_quote_sum_w10_zscore, bar_ofi_signed_qty_sum_w10_trend)), ta_minus_dm_14(ta_lr_angle_10(bar_ofi_signed_quote_sum_w10_quantile), ts_argrange_10(bar_gof_by_count_w10_mean))), ta_trima_21(bar_gof_by_count_w10_std))"
239,ts_wma_21(ta_lr_slope_5(sin(ta_tsf_20(bar_ofi_signed_quote_sum_w10_trend))))
240,"ts_skew_10(ta_ema_21(ta_dx_25(ta_trix_55(ts_mean_return_10(bar_ofi_signed_qty_sum_w10_std)), ts_sma_8(TS_CORR_40(bar_ofi_signed_quote_sum_w10_trend, bar_ofi_signed_qty_sum_w10_trend)), ts_max_10(ta_lr_angle_10(bar_gof_by_count_w10_std)))))"
241,"ta_willr_14(sin(ta_dema_8(ts_kurt_20(bar_ofi_signed_quote_sum_w10_std))), ts_argrange_20(ta_atr_25(ta_ema_21(bar_ofi_signed_quote_sum_w10_quantile), ta_lr_intercept_5(bar_ofi_signed_quote_sum_w10_trend), ta_dema_55(bar_gof_by_count_w10_mean))), ta_cmo_14(ta_dx_25(ts_argmax_10(bar_ofi_signed_quote_sum_w10_quantile), ta_lr_slope_10(bar_gof_by_volume_w10_std), TS_COV_20(bar_ofi_signed_quote_sum_w10_trend, bar_ofi_signed_qty_sum_w10_mean))))"
242,"ta_beta_5(ta_atr_25(ta_rocr_25(bar_ofi_signed_quote_sum_w10_zscore), ta_tema_55(bar_ofi_signed_quote_sum_w10_std), ta_lr_angle_20(bar_ofi_signed_qty_sum_w10_mean)), ts_max_20(ts_max_20(bar_ofi_signed_quote_sum_w10_momentum)))"
243,"TA_TRANGE(ta_dema_8(TS_CORR_20(bar_ofi_signed_qty_sum_w10_std, bar_ofi_signed_quote_sum_w10_quantile)), ta_rocr_14(ta_aroonosc_14(bar_ofi_signed_quote_sum_w10_zscore, bar_gof_by_count_w10_trend)), inv(ts_max_10(bar_ofi_signed_qty_sum_w10_trend)))"
244,"ta_beta_5(ts_prod_17(elu(TS_CORR_40(bar_gof_by_count_w10_mean, bar_ofi_signed_qty_sum_w10_mean))), ts_std_20(sub(ta_lr_intercept_20(bar_gof_by_count_w10_mean), abs(bar_ofi_signed_qty_sum_w10_trend))))"
245,"ta_aroonosc_25(ts_kurt_40(ta_trima_21(bar_gof_by_count_w10_mean)), ts_wma_8(sub(bar_gof_by_count_w10_mean, bar_ofi_signed_qty_sum_w10_std)))"
