,expression
32,ta_rocr_14(ts_skew_40(bar_ofi_signed_qty_sum_w10_std))
33,ta_cmo_25(ts_argrange_20(ta_tsf_20(ta_mom_12(bar_gof_by_volume_w10_std))))
34,ta_mom_25(ts_mean_return_5(ta_dema_21(bar_ofi_signed_quote_sum_w10_momentum)))
35,"ta_cci_25(ta_rocp_14(ta_minus_di_25(bar_ofi_signed_qty_sum_w10_std, bar_gof_by_count_w10_std, bar_gof_by_volume_w10_std)), add(ta_ema_21(bar_ofi_signed_qty_sum_w10_std), ts_wma_21(bar_ofi_signed_quote_sum_w10_quantile)), ts_wma_21(ts_argmax_20(bar_gof_by_count_w10_mean)))"
36,"ts_delta_8(ta_cci_25(ta_willr_14(bar_gof_by_volume_w10_std, bar_gof_by_count_w10_std, bar_ofi_signed_quote_sum_w10_momentum), ta_mom_12(bar_gof_by_count_w10_mean), bar_gof_by_volume_w10_trend))"
37,"abs(ts_prod_3(ta_tsf_10(TA_BOP(bar_ofi_signed_qty_sum_w10_mean, bar_gof_by_volume_w10_trend, bar_ofi_signed_quote_sum_w10_trend, bar_ofi_signed_quote_sum_w10_trend))))"
38,"ts_skew_20(ta_aroonosc_14(ta_dema_21(ts_argmax_10(bar_ofi_signed_qty_sum_w10_mean)), TA_HT_DCPHASE(ta_mfi_14(bar_ofi_signed_qty_sum_w10_trend, bar_gof_by_count_w10_mean, bar_ofi_signed_qty_sum_w10_mean, bar_ofi_signed_quote_sum_w10_zscore))))"
39,"ts_kurt_40(ta_trima_21(TA_BOP(bar_ofi_signed_quote_sum_w10_mean, bar_ofi_signed_quote_sum_w10_trend, bar_gof_by_count_w10_std, bar_ofi_signed_qty_sum_w10_trend)))"
40,ts_kurt_10(ts_lag_8(ts_skew_20(bar_ofi_signed_qty_sum_w10_trend)))
41,"ts_min_5(ta_cci_25(ta_cci_14(ta_cci_25(ts_mean_return_10(bar_gof_by_count_w10_std), ta_minus_dm_25(bar_gof_by_count_w10_mean, bar_ofi_signed_quote_sum_w10_zscore), ta_tema_8(bar_ofi_signed_quote_sum_w10_trend)), ta_cmo_25(ts_range_5(bar_gof_by_volume_w10_trend)), ta_willr_25(ta_trima_21(bar_gof_by_volume_w10_trend), ts_std_20(bar_ofi_signed_qty_sum_w10_mean), ta_rsi_12(bar_ofi_signed_quote_sum_w10_zscore))), ta_dx_14(sqrt(ta_atr_14(bar_gof_by_volume_w10_trend, bar_ofi_signed_quote_sum_w10_zscore, bar_gof_by_volume_w10_trend)), ta_tsf_10(ts_sum_8(bar_ofi_signed_quote_sum_w10_std)), add(ta_lr_angle_20(bar_gof_by_count_w10_mean), add(bar_gof_by_volume_w10_trend, bar_ofi_signed_quote_sum_w10_mean))), ta_atr_14(ts_rank_5(ta_trix_21(bar_gof_by_count_w10_trend)), TA_TRANGE(ta_tsf_10(bar_ofi_signed_qty_sum_w10_mean), ta_dema_21(bar_ofi_signed_quote_sum_w10_mean), ta_rsi_6(bar_ofi_signed_qty_sum_w10_std)), ts_argmax_10(ts_sma_21(bar_ofi_signed_qty_sum_w10_std)))))"
42,"TA_SAR(ts_max_10(bar_ofi_signed_qty_sum_w10_std), ta_lr_angle_5(bar_gof_by_count_w10_std))"
43,neg(ta_mom_25(ts_lag_3(bar_ofi_signed_quote_sum_w10_momentum)))
44,"ta_beta_5(ta_lr_intercept_10(ts_lag_3(bar_ofi_signed_qty_sum_w10_mean)), min(ts_sum_8(ts_max_20(bar_ofi_signed_qty_sum_w10_trend)), ts_max_20(ts_mean_return_10(bar_gof_by_count_w10_trend))))"
45,"ts_argmin_20(ts_kurt_20(sin(ta_dema_21(max(bar_ofi_signed_quote_sum_w10_std, bar_ofi_signed_qty_sum_w10_trend)))))"
