,expression
0,ta_lr_intercept_5(elu(ts_skew_10(bar_gof_by_count_w10_mean)))
1,neg(ts_delta_3(ta_lr_slope_10(ts_sma_8(ts_kurt_20(bar_gof_by_volume_w10_mean)))))
2,"ts_prod_17(sub(ts_argmin_20(mul(ta_dema_21(bar_ofi_signed_qty_sum_w10_std), ts_argmin_20(bar_gof_by_volume_w10_std))), ts_prod_3(ta_dema_21(ts_sum_3(bar_ofi_signed_quote_sum_w10_trend)))))"
3,ts_min_5(ta_dema_8(ts_range_5(bar_ofi_signed_qty_sum_w10_std)))
4,ts_delta_3(ts_min_5(bar_ofi_signed_qty_sum_w10_trend))
5,"ta_aroonosc_14(ts_delta_8(ta_beta_5(bar_ofi_signed_quote_sum_w10_std, TS_COV_20(ta_beta_20(bar_ofi_signed_qty_sum_w10_trend, bar_ofi_signed_qty_sum_w10_trend), ts_rank_20(bar_gof_by_volume_w10_std)))), neg(ts_min_10(ta_lr_slope_20(TA_TRANGE(bar_ofi_signed_quote_sum_w10_mean, bar_gof_by_count_w10_trend, bar_ofi_signed_quote_sum_w10_std)))))"
6,ta_rocp_14(ts_prod_3(ta_rocr_14(bar_ofi_signed_quote_sum_w10_mean)))
7,"ta_beta_10(ts_range_20(ta_trima_21(bar_ofi_signed_quote_sum_w10_quantile)), ta_cci_25(ta_lr_angle_20(ta_willr_25(bar_gof_by_volume_w10_trend, bar_gof_by_volume_w10_std, bar_ofi_signed_qty_sum_w10_mean)), cos(tanh(bar_gof_by_count_w10_std)), ts_range_5(TA_TRANGE(bar_gof_by_volume_w10_mean, bar_gof_by_count_w10_mean, bar_gof_by_count_w10_std))))"
8,"ta_cmo_14(ts_argmax_20(ta_atr_14(bar_ofi_signed_quote_sum_w10_quantile, bar_gof_by_count_w10_mean, bar_gof_by_count_w10_std)))"
9,log(ts_lag_8(ts_argmin_5(bar_ofi_signed_quote_sum_w10_quantile)))
10,ts_lag_17(ta_lr_intercept_10(bar_ofi_signed_quote_sum_w10_momentum))
11,"ta_cci_14(min(bar_gof_by_count_w10_mean, bar_ofi_signed_quote_sum_w10_trend), ta_dx_14(bar_ofi_signed_qty_sum_w10_mean, bar_ofi_signed_quote_sum_w10_zscore, bar_ofi_signed_quote_sum_w10_std), ts_argmax_20(bar_gof_by_volume_w10_std))"
12,"TS_CORR_20(ta_lr_slope_5(ta_cmo_25(bar_ofi_signed_quote_sum_w10_quantile)), ta_ema_21(neg(bar_gof_by_count_w10_std)))"
13,"ta_rocp_25(ts_argmin_5(TA_SAR(bar_gof_by_count_w10_trend, bar_ofi_signed_quote_sum_w10_zscore)))"
14,"max(ts_delta_8(ts_std_20(ts_argmin_10(bar_ofi_signed_quote_sum_w10_mean))), ts_mean_return_20(ta_lr_intercept_10(ta_trix_55(bar_ofi_signed_qty_sum_w10_trend))))"
15,"ta_willr_25(ta_tsf_10(ta_ema_21(bar_ofi_signed_quote_sum_w10_momentum)), ta_trima_55(ta_mfi_25(bar_gof_by_volume_w10_std, bar_ofi_signed_quote_sum_w10_mean, bar_gof_by_volume_w10_trend, bar_ofi_signed_quote_sum_w10_trend)), bar_gof_by_count_w10_trend)"
16,"ta_dema_8(ta_aroonosc_14(ta_trima_21(TS_COV_40(bar_ofi_signed_quote_sum_w10_mean, bar_ofi_signed_qty_sum_w10_trend)), ta_lr_slope_20(ts_prod_3(bar_gof_by_volume_w10_std))))"
17,ta_lr_slope_20(ts_skew_10(ts_lag_3(ts_min_20(bar_gof_by_volume_w10_std))))
18,"ta_lr_slope_20(ta_willr_14(ts_std_40(bar_gof_by_volume_w10_trend), ta_minus_dm_14(bar_gof_by_volume_w10_std, bar_ofi_signed_qty_sum_w10_trend), ts_prod_3(bar_ofi_signed_quote_sum_w10_trend)))"
