,expression
19,"ta_beta_5(add(ta_tsf_10(bar_ofi_signed_quote_sum_w10_quantile), ts_mean_return_20(bar_gof_by_count_w10_trend)), ta_tsf_10(div(bar_ofi_signed_quote_sum_w10_std, bar_ofi_signed_quote_sum_w10_zscore)))"
20,log(ta_rocr_14(ta_lr_angle_10(ta_trima_21(ta_ema_8(bar_ofi_signed_qty_sum_w10_std)))))
21,"ta_cci_25(ta_ema_55(ta_atr_14(bar_gof_by_volume_w10_std, bar_ofi_signed_quote_sum_w10_std, ts_min_5(bar_ofi_signed_quote_sum_w10_quantile))), bar_ofi_signed_quote_sum_w10_zscore, ta_tema_21(ts_max_10(ta_lr_angle_20(bar_gof_by_count_w10_trend))))"
22,ta_ema_21(elu(ts_argrange_5(ta_trima_8(bar_gof_by_count_w10_mean))))
23,ts_skew_10(ta_dema_8(ts_lag_3(ts_max_20(bar_gof_by_volume_w10_trend))))
24,ts_sum_8(ts_skew_10(ts_argmax_5(ta_dema_55(ts_argmax_5(bar_gof_by_count_w10_std)))))
25,"ta_beta_5(neg(ta_atr_25(log(bar_ofi_signed_quote_sum_w10_mean), ta_lr_angle_10(bar_ofi_signed_quote_sum_w10_zscore), ta_tema_8(bar_gof_by_volume_w10_trend))), ts_lag_8(ta_cci_14(ts_std_20(bar_ofi_signed_qty_sum_w10_std), ts_min_10(bar_ofi_signed_qty_sum_w10_trend), ts_argmin_20(bar_ofi_signed_qty_sum_w10_std))))"
26,"ta_lr_slope_10(ts_argmax_20(ta_cci_25(ta_rocp_14(ta_dema_55(bar_gof_by_count_w10_mean)), ts_rank_10(ta_tsf_20(bar_gof_by_volume_w10_trend)), ta_ema_55(neg(bar_ofi_signed_quote_sum_w10_quantile)))))"
27,ts_argmin_10(ts_rank_10(ta_trima_55(ts_sum_17(ts_delta_3(bar_ofi_signed_qty_sum_w10_trend)))))
28,"TA_TRANGE(ts_max_5(ta_cci_14(ta_lr_angle_10(bar_ofi_signed_quote_sum_w10_trend), ta_tema_8(bar_ofi_signed_quote_sum_w10_mean), ts_sma_8(bar_ofi_signed_quote_sum_w10_mean))), ts_lag_8(ta_mfi_25(ta_rsi_24(bar_ofi_signed_quote_sum_w10_quantile), ta_dema_55(bar_gof_by_volume_w10_mean), log(bar_ofi_signed_quote_sum_w10_quantile), ta_dx_14(bar_ofi_signed_quote_sum_w10_std, bar_gof_by_volume_w10_mean, bar_ofi_signed_qty_sum_w10_mean))), ta_ema_55(ts_mean_return_20(ta_ema_21(bar_ofi_signed_qty_sum_w10_std))))"
29,ts_delta_3(ts_argmax_5(ts_rank_20(bar_ofi_signed_quote_sum_w10_zscore)))
30,"ts_min_5(sub(ts_prod_17(ta_mom_12(bar_gof_by_count_w10_trend)), ts_kurt_20(ts_delta_8(bar_gof_by_count_w10_trend))))"
31,ts_mean_return_5(ts_skew_10(ta_trix_8(ta_trima_8(bar_ofi_signed_qty_sum_w10_mean))))
32,"TA_SAR(ts_rank_10(ta_lr_angle_5(bar_gof_by_volume_w10_mean)), inv(ts_argrange_5(ta_tsf_20(bar_ofi_signed_quote_sum_w10_trend))))"
33,"ta_lr_slope_5(max(ta_lr_intercept_5(ta_trima_8(ta_lr_slope_20(bar_ofi_signed_qty_sum_w10_trend))), ta_rocp_25(ta_rocp_25(ta_aroonosc_14(bar_ofi_signed_quote_sum_w10_momentum, bar_ofi_signed_quote_sum_w10_quantile)))))"
34,"ts_kurt_20(TS_COV_20(bar_ofi_signed_quote_sum_w10_zscore, bar_ofi_signed_qty_sum_w10_std))"
35,ta_mom_25(ts_mean_return_5(ta_dema_21(bar_ofi_signed_quote_sum_w10_momentum)))
36,"ta_cci_25(ta_rocp_14(ta_minus_di_25(bar_ofi_signed_qty_sum_w10_std, bar_gof_by_count_w10_std, bar_gof_by_volume_w10_std)), add(ta_ema_21(bar_ofi_signed_qty_sum_w10_std), ts_wma_21(bar_ofi_signed_quote_sum_w10_quantile)), ts_wma_21(ts_argmax_20(bar_gof_by_count_w10_mean)))"
37,"ts_delta_8(ta_cci_25(ta_willr_14(bar_gof_by_volume_w10_std, bar_gof_by_count_w10_std, bar_ofi_signed_quote_sum_w10_momentum), ta_mom_12(bar_gof_by_count_w10_mean), bar_gof_by_volume_w10_trend))"
38,"abs(ts_prod_3(ta_tsf_10(TA_BOP(bar_ofi_signed_qty_sum_w10_mean, bar_gof_by_volume_w10_trend, bar_ofi_signed_quote_sum_w10_trend, bar_ofi_signed_quote_sum_w10_trend))))"
39,"ts_skew_20(ta_aroonosc_14(ta_dema_21(ts_argmax_10(bar_ofi_signed_qty_sum_w10_mean)), TA_HT_DCPHASE(ta_mfi_14(bar_ofi_signed_qty_sum_w10_trend, bar_gof_by_count_w10_mean, bar_ofi_signed_qty_sum_w10_mean, bar_ofi_signed_quote_sum_w10_zscore))))"
40,"ts_kurt_40(ta_trima_21(TA_BOP(bar_ofi_signed_quote_sum_w10_mean, bar_ofi_signed_quote_sum_w10_trend, bar_gof_by_count_w10_std, bar_ofi_signed_qty_sum_w10_trend)))"
41,ts_kurt_10(ts_lag_8(ts_skew_20(bar_ofi_signed_qty_sum_w10_trend)))
42,"max(ta_dema_21(ta_mfi_25(ta_dx_25(bar_ofi_signed_qty_sum_w10_std, bar_ofi_signed_quote_sum_w10_std, bar_gof_by_volume_w10_mean), ta_tema_55(bar_gof_by_count_w10_mean), ta_tsf_20(bar_ofi_signed_quote_sum_w10_mean), ts_argrange_10(bar_ofi_signed_quote_sum_w10_quantile))), ta_cci_14(ta_rocr_25(ta_tsf_10(bar_gof_by_count_w10_std)), ta_lr_intercept_10(sqrt(bar_gof_by_count_w10_mean)), ta_beta_10(TA_HT_DCPERIOD(bar_ofi_signed_quote_sum_w10_quantile), TA_TRANGE(bar_ofi_signed_qty_sum_w10_trend, bar_ofi_signed_quote_sum_w10_quantile, bar_ofi_signed_quote_sum_w10_quantile))))"
43,"ta_cci_14(ta_trima_21(ta_trix_21(bar_gof_by_volume_w10_mean)), ta_minus_di_25(ta_lr_slope_5(bar_ofi_signed_quote_sum_w10_zscore), ta_mfi_25(bar_gof_by_count_w10_std, bar_ofi_signed_quote_sum_w10_mean, bar_ofi_signed_quote_sum_w10_mean, bar_ofi_signed_quote_sum_w10_quantile), ta_dx_14(bar_ofi_signed_quote_sum_w10_quantile, bar_gof_by_volume_w10_std, bar_gof_by_volume_w10_mean)), bar_ofi_signed_quote_sum_w10_quantile)"
44,"ts_min_5(ta_cci_25(ta_cci_14(ta_cci_25(ts_mean_return_10(bar_gof_by_count_w10_std), ta_minus_dm_25(bar_gof_by_count_w10_mean, bar_ofi_signed_quote_sum_w10_zscore), ta_tema_8(bar_ofi_signed_quote_sum_w10_trend)), ta_cmo_25(ts_range_5(bar_gof_by_volume_w10_trend)), ta_willr_25(ta_trima_21(bar_gof_by_volume_w10_trend), ts_std_20(bar_ofi_signed_qty_sum_w10_mean), ta_rsi_12(bar_ofi_signed_quote_sum_w10_zscore))), ta_dx_14(sqrt(ta_atr_14(bar_gof_by_volume_w10_trend, bar_ofi_signed_quote_sum_w10_zscore, bar_gof_by_volume_w10_trend)), ta_tsf_10(ts_sum_8(bar_ofi_signed_quote_sum_w10_std)), add(ta_lr_angle_20(bar_gof_by_count_w10_mean), add(bar_gof_by_volume_w10_trend, bar_ofi_signed_quote_sum_w10_mean))), ta_atr_14(ts_rank_5(ta_trix_21(bar_gof_by_count_w10_trend)), TA_TRANGE(ta_tsf_10(bar_ofi_signed_qty_sum_w10_mean), ta_dema_21(bar_ofi_signed_quote_sum_w10_mean), ta_rsi_6(bar_ofi_signed_qty_sum_w10_std)), ts_argmax_10(ts_sma_21(bar_ofi_signed_qty_sum_w10_std)))))"
45,"TA_SAR(ts_max_10(bar_ofi_signed_qty_sum_w10_std), ta_lr_angle_5(bar_gof_by_count_w10_std))"
46,neg(ta_mom_25(ts_lag_3(bar_ofi_signed_quote_sum_w10_momentum)))
47,"ta_beta_5(ts_range_10(TS_CORR_40(ta_lr_angle_5(bar_ofi_signed_quote_sum_w10_trend), max(bar_gof_by_count_w10_trend, bar_ofi_signed_qty_sum_w10_mean))), bar_ofi_signed_qty_sum_w10_mean)"
48,"ta_beta_5(ta_lr_intercept_10(ts_lag_3(bar_ofi_signed_qty_sum_w10_mean)), min(ts_sum_8(ts_max_20(bar_ofi_signed_qty_sum_w10_trend)), ts_max_20(ts_mean_return_10(bar_gof_by_count_w10_trend))))"
49,"ts_argmin_20(ts_kurt_20(sin(ta_dema_21(max(bar_ofi_signed_quote_sum_w10_std, bar_ofi_signed_qty_sum_w10_trend)))))"
50,ts_delta_8(ts_lag_3(ts_max_5(ta_lr_angle_20(abs(bar_ofi_signed_quote_sum_w10_trend)))))
51,ts_delta_3(ts_sum_17(tanh(bar_gof_by_count_w10_mean)))
52,"ts_argrange_20(ta_rsi_6(ta_beta_20(bar_ofi_signed_quote_sum_w10_quantile, bar_gof_by_volume_w10_mean)))"
53,ts_delta_8(ts_argmin_5(bar_gof_by_volume_w10_mean))
54,"ta_beta_5(bar_ofi_signed_qty_sum_w10_mean, min(bar_ofi_signed_qty_sum_w10_mean, ta_tema_21(bar_gof_by_volume_w10_trend)))"
55,"ta_willr_14(ts_min_10(ts_min_20(ta_rocp_14(ta_lr_intercept_5(bar_ofi_signed_quote_sum_w10_momentum)))), ta_beta_10(ta_trima_55(ts_argrange_5(ta_trima_21(bar_ofi_signed_quote_sum_w10_std))), ts_skew_40(ta_tema_8(ta_minus_dm_25(bar_gof_by_volume_w10_mean, bar_ofi_signed_qty_sum_w10_std)))), mul(ta_trima_55(ta_dema_55(ta_mfi_14(bar_gof_by_count_w10_mean, bar_ofi_signed_quote_sum_w10_mean, bar_ofi_signed_quote_sum_w10_quantile, bar_ofi_signed_quote_sum_w10_std))), ta_rsi_24(ts_prod_17(sub(bar_gof_by_volume_w10_mean, bar_ofi_signed_quote_sum_w10_mean)))))"
56,ts_prod_8(ta_dema_8(ts_argmin_10(ts_mean_return_20(ta_lr_intercept_20(bar_gof_by_volume_w10_std)))))
57,"ts_delta_17(ts_argrange_10(ts_argrange_5(mul(bar_ofi_signed_quote_sum_w10_quantile, bar_gof_by_volume_w10_std))))"
58,ta_rocp_25(ts_sum_3(bar_ofi_signed_quote_sum_w10_mean))
59,"ta_beta_10(ts_mean_return_20(abs(sin(bar_gof_by_count_w10_mean))), ts_mean_return_5(ta_trima_8(ta_cmo_25(bar_ofi_signed_quote_sum_w10_std))))"
60,ta_lr_slope_5(ts_kurt_40(ts_wma_21(ta_dema_8(bar_gof_by_count_w10_mean))))
61,log(ta_cmo_14(bar_ofi_signed_quote_sum_w10_zscore))
62,"sub(ta_dema_21(ta_lr_slope_10(ta_lr_intercept_5(ta_tsf_10(bar_gof_by_count_w10_mean)))), ts_prod_8(TA_TRANGE(ts_lag_8(ta_rocr_14(bar_gof_by_count_w10_std)), ts_rank_5(ta_dx_25(bar_gof_by_count_w10_std, bar_gof_by_volume_w10_std, bar_ofi_signed_quote_sum_w10_trend)), ts_argmax_5(ts_wma_8(bar_ofi_signed_quote_sum_w10_trend)))))"
63,"ts_prod_8(TA_SAR(elu(ts_std_10(ts_min_10(bar_gof_by_volume_w10_trend))), ta_rsi_12(ts_argrange_20(elu(bar_ofi_signed_quote_sum_w10_momentum)))))"
64,ts_kurt_20(ta_trima_21(bar_ofi_signed_quote_sum_w10_momentum))
65,"min(ts_delta_17(bar_gof_by_count_w10_trend), ts_delta_3(bar_ofi_signed_quote_sum_w10_quantile))"
66,"ta_cci_14(ta_dema_55(ta_rocr_14(bar_ofi_signed_qty_sum_w10_mean)), ta_aroonosc_14(ts_min_20(bar_ofi_signed_quote_sum_w10_momentum), sqrt(bar_gof_by_volume_w10_trend)), ta_lr_intercept_10(ta_rocr_14(bar_gof_by_count_w10_std)))"
67,ta_dema_21(ts_argrange_5(ts_argmax_10(bar_gof_by_volume_w10_trend)))
68,"TA_BOP(mul(ts_argmax_20(bar_gof_by_volume_w10_mean), ta_rsi_24(bar_ofi_signed_qty_sum_w10_trend)), ta_minus_dm_25(ta_mfi_25(bar_ofi_signed_quote_sum_w10_trend, bar_ofi_signed_quote_sum_w10_std, bar_ofi_signed_quote_sum_w10_quantile, bar_ofi_signed_quote_sum_w10_momentum), ta_minus_di_25(bar_ofi_signed_quote_sum_w10_zscore, bar_ofi_signed_quote_sum_w10_std, bar_ofi_signed_quote_sum_w10_std)), ts_prod_8(ts_delta_17(bar_gof_by_count_w10_trend)), ts_rank_5(ts_lag_3(bar_ofi_signed_qty_sum_w10_std)))"
69,ta_rocp_25(ts_sum_17(ta_ema_8(ts_lag_8(ts_argmax_10(bar_ofi_signed_quote_sum_w10_trend)))))
70,ts_skew_10(ta_tema_8(ts_skew_40(bar_gof_by_volume_w10_mean)))
71,"ta_cci_14(ts_std_40(bar_gof_by_count_w10_mean), ta_rocr_25(bar_gof_by_volume_w10_mean), ts_wma_55(bar_gof_by_count_w10_trend))"
72,"ts_min_5(elu(ts_lag_17(ta_lr_angle_20(ta_beta_5(bar_gof_by_count_w10_trend, bar_ofi_signed_quote_sum_w10_std)))))"
73,ta_trix_8(ts_prod_17(bar_ofi_signed_qty_sum_w10_mean))
74,ts_argrange_20(ts_argmax_5(sqrt(bar_ofi_signed_quote_sum_w10_momentum)))
75,"ta_rocp_14(ts_mean_return_5(ta_willr_14(ta_beta_10(ts_range_5(bar_gof_by_volume_w10_mean), ta_dx_14(bar_ofi_signed_quote_sum_w10_std, bar_ofi_signed_qty_sum_w10_std, bar_gof_by_count_w10_std)), ta_minus_di_25(ts_argmin_5(bar_gof_by_count_w10_mean), ts_delta_3(bar_ofi_signed_quote_sum_w10_std), ta_lr_angle_20(bar_ofi_signed_quote_sum_w10_quantile)), ts_argmax_20(inv(bar_ofi_signed_quote_sum_w10_trend)))))"
76,"ts_argmax_20(ts_lag_3(ta_tsf_20(cos(max(bar_gof_by_count_w10_mean, bar_ofi_signed_qty_sum_w10_trend)))))"
77,"ts_delta_3(ta_tsf_10(ta_rsi_24(sub(ts_kurt_40(bar_ofi_signed_quote_sum_w10_zscore), ta_willr_25(bar_ofi_signed_quote_sum_w10_quantile, bar_gof_by_count_w10_std, bar_ofi_signed_quote_sum_w10_std)))))"
78,ts_argmin_10(ts_wma_21(ts_kurt_10(bar_gof_by_count_w10_trend)))
79,"ta_cci_14(ts_wma_8(bar_ofi_signed_quote_sum_w10_std), ta_aroonosc_25(bar_ofi_signed_quote_sum_w10_trend, bar_gof_by_count_w10_mean), ts_sum_17(bar_gof_by_count_w10_mean))"
80,"ta_rocp_14(ts_mean_return_20(sub(bar_ofi_signed_quote_sum_w10_zscore, bar_gof_by_volume_w10_mean)))"
81,ta_rocp_25(ts_argmin_5(bar_gof_by_count_w10_std))
82,"ta_trix_8(ta_dema_21(ts_wma_8(ta_aroonosc_25(ts_rank_5(bar_gof_by_volume_w10_std), ta_rocr_14(bar_gof_by_volume_w10_trend)))))"
83,"ta_lr_angle_10(ta_dema_8(ta_mfi_14(ta_tema_55(ts_min_10(bar_gof_by_volume_w10_std)), ta_cmo_25(ta_lr_angle_10(bar_gof_by_volume_w10_std)), bar_ofi_signed_quote_sum_w10_quantile, ts_wma_8(elu(bar_gof_by_count_w10_trend)))))"
84,elu(ta_tsf_5(ts_argmax_5(ta_lr_angle_10(ts_sma_55(bar_ofi_signed_quote_sum_w10_trend)))))
85,ta_lr_angle_5(ts_argrange_10(bar_ofi_signed_quote_sum_w10_quantile))
86,"ts_delta_8(ta_cci_14(ta_tsf_20(ts_std_40(ta_trix_8(bar_ofi_signed_quote_sum_w10_mean))), ta_cmo_25(TA_BOP(ts_delta_3(bar_ofi_signed_qty_sum_w10_std), TA_BOP(bar_ofi_signed_quote_sum_w10_std, bar_ofi_signed_qty_sum_w10_std, bar_ofi_signed_quote_sum_w10_zscore, bar_ofi_signed_quote_sum_w10_quantile), sub(bar_ofi_signed_qty_sum_w10_std, bar_ofi_signed_quote_sum_w10_zscore), ta_dx_14(bar_ofi_signed_quote_sum_w10_momentum, bar_ofi_signed_qty_sum_w10_trend, bar_ofi_signed_quote_sum_w10_std))), ts_std_20(ts_skew_20(ta_minus_dm_25(bar_gof_by_volume_w10_trend, bar_ofi_signed_quote_sum_w10_mean)))))"
87,"ta_tsf_10(ts_delta_3(ta_rsi_6(TA_SAR(ts_std_20(bar_ofi_signed_quote_sum_w10_mean), ta_lr_angle_10(bar_ofi_signed_quote_sum_w10_trend)))))"
88,ts_argmin_20(sqrt(ts_wma_55(bar_ofi_signed_quote_sum_w10_momentum)))
89,"ta_willr_14(ta_trix_21(ta_dema_8(bar_gof_by_count_w10_trend)), sin(div(bar_gof_by_count_w10_mean, bar_gof_by_count_w10_std)), ts_skew_20(ta_cci_25(bar_gof_by_count_w10_trend, bar_gof_by_volume_w10_trend, bar_ofi_signed_quote_sum_w10_zscore)))"
90,"ta_lr_slope_5(TS_COV_40(ts_lag_17(ts_skew_20(bar_gof_by_count_w10_std)), bar_ofi_signed_qty_sum_w10_std))"
91,"sub(log(ts_delta_8(ta_dema_8(bar_ofi_signed_quote_sum_w10_zscore))), ts_prod_3(ts_argmax_5(ta_tema_55(bar_ofi_signed_quote_sum_w10_momentum))))"
92,ts_argmax_20(ts_sum_3(ts_lag_17(ts_min_10(bar_ofi_signed_quote_sum_w10_quantile))))
93,ta_tsf_5(ts_prod_8(bar_gof_by_count_w10_trend))
94,"ta_beta_20(min(ta_aroonosc_14(bar_ofi_signed_qty_sum_w10_trend, bar_ofi_signed_quote_sum_w10_quantile), ts_argrange_10(bar_ofi_signed_qty_sum_w10_trend)), elu(cos(bar_ofi_signed_qty_sum_w10_std)))"
95,ta_lr_slope_20(ts_lag_17(bar_ofi_signed_quote_sum_w10_zscore))
96,ts_delta_8(ts_rank_20(bar_gof_by_volume_w10_trend))
97,inv(ta_dema_21(ts_kurt_10(bar_ofi_signed_quote_sum_w10_zscore)))
98,"ta_cci_14(ta_trix_21(ts_sma_55(ts_max_5(ts_kurt_10(bar_ofi_signed_qty_sum_w10_std)))), ts_argmin_20(ta_lr_angle_20(inv(TA_TRANGE(bar_ofi_signed_quote_sum_w10_momentum, bar_gof_by_count_w10_trend, bar_ofi_signed_quote_sum_w10_std)))), min(ts_kurt_20(ta_lr_intercept_10(ts_sum_3(bar_gof_by_volume_w10_mean))), ts_argrange_20(ta_beta_10(ta_aroonosc_14(bar_ofi_signed_quote_sum_w10_zscore, bar_ofi_signed_qty_sum_w10_mean), ta_minus_di_25(bar_ofi_signed_quote_sum_w10_quantile, bar_ofi_signed_quote_sum_w10_mean, bar_ofi_signed_quote_sum_w10_quantile)))))"
99,ts_argrange_5(ta_trima_8(ts_min_20(bar_ofi_signed_qty_sum_w10_mean)))
100,"TS_CORR_20(ta_rsi_6(ta_dx_25(bar_ofi_signed_quote_sum_w10_trend, bar_gof_by_count_w10_std, bar_gof_by_count_w10_mean)), ts_delta_3(add(bar_ofi_signed_quote_sum_w10_trend, bar_ofi_signed_quote_sum_w10_quantile)))"
101,ts_mean_return_5(bar_ofi_signed_quote_sum_w10_quantile)
102,"mul(ts_lag_8(bar_gof_by_volume_w10_mean), ts_kurt_10(bar_ofi_signed_quote_sum_w10_momentum))"
103,"ts_argmin_5(TS_COV_40(ta_cmo_25(ts_argmin_20(ts_argrange_5(bar_gof_by_volume_w10_mean))), ta_minus_dm_25(add(bar_gof_by_volume_w10_mean, ts_mean_return_20(bar_ofi_signed_quote_sum_w10_momentum)), ta_ema_21(ts_std_20(bar_gof_by_count_w10_trend)))))"
104,"TS_CORR_20(ta_beta_5(ta_cci_25(bar_ofi_signed_qty_sum_w10_mean, bar_gof_by_count_w10_mean, bar_ofi_signed_quote_sum_w10_quantile), ta_willr_14(bar_gof_by_count_w10_mean, bar_ofi_signed_quote_sum_w10_mean, bar_gof_by_count_w10_std)), ta_atr_25(ta_trix_21(bar_gof_by_count_w10_mean), elu(bar_ofi_signed_quote_sum_w10_mean), ta_rocr_14(bar_ofi_signed_quote_sum_w10_trend)))"
105,ts_lag_8(ta_mom_12(ta_rsi_12(bar_ofi_signed_quote_sum_w10_quantile)))
106,"ta_cci_14(ts_sma_55(TS_COV_20(ts_wma_21(bar_gof_by_volume_w10_std), ts_prod_3(bar_gof_by_count_w10_std))), ta_atr_25(ts_mean_return_20(ta_beta_10(bar_ofi_signed_quote_sum_w10_zscore, bar_ofi_signed_quote_sum_w10_zscore)), tanh(ta_mfi_14(bar_gof_by_count_w10_std, bar_gof_by_count_w10_std, bar_ofi_signed_quote_sum_w10_quantile, bar_ofi_signed_quote_sum_w10_quantile)), ta_tsf_10(ta_dema_21(bar_ofi_signed_quote_sum_w10_zscore))), ta_rsi_6(bar_ofi_signed_quote_sum_w10_trend))"
107,"TA_BOP(ts_lag_3(bar_gof_by_count_w10_trend), neg(bar_ofi_signed_quote_sum_w10_trend), tanh(bar_ofi_signed_qty_sum_w10_std), ts_lag_8(bar_ofi_signed_qty_sum_w10_mean))"
108,log(ts_argrange_10(bar_ofi_signed_quote_sum_w10_std))
109,ts_kurt_10(cos(bar_gof_by_volume_w10_trend))
110,ts_argmax_10(TA_HT_DCPERIOD(ts_argmin_5(ts_argmax_5(bar_gof_by_count_w10_mean))))
111,"inv(ta_cci_14(mul(ts_wma_8(bar_ofi_signed_quote_sum_w10_mean), ta_tsf_10(bar_gof_by_volume_w10_trend)), ta_beta_5(ta_beta_20(bar_ofi_signed_quote_sum_w10_momentum, bar_ofi_signed_quote_sum_w10_momentum), ta_tsf_20(bar_gof_by_count_w10_mean)), TA_HT_DCPHASE(ts_lag_3(bar_gof_by_volume_w10_std))))"
112,ts_kurt_40(ts_max_20(bar_ofi_signed_quote_sum_w10_momentum))
113,"ts_delta_3(log(ts_mean_return_5(ta_lr_angle_20(TS_CORR_40(bar_ofi_signed_quote_sum_w10_std, bar_gof_by_count_w10_mean)))))"
114,"ta_willr_14(ts_skew_10(ts_argrange_20(bar_ofi_signed_quote_sum_w10_std)), ts_prod_3(ta_ema_8(bar_ofi_signed_qty_sum_w10_mean)), bar_ofi_signed_quote_sum_w10_zscore)"
115,ta_dema_8(ta_tsf_5(sin(ta_lr_intercept_20(bar_ofi_signed_qty_sum_w10_mean))))
116,"tan(ta_tema_8(TS_CORR_40(TA_TRANGE(bar_gof_by_volume_w10_mean, bar_ofi_signed_quote_sum_w10_quantile, bar_gof_by_volume_w10_std), ts_argmax_5(bar_gof_by_volume_w10_trend))))"
117,"div(ts_rank_20(bar_ofi_signed_qty_sum_w10_trend), ts_rank_5(bar_gof_by_count_w10_std))"
118,ta_mom_12(ta_lr_intercept_10(ta_cmo_25(bar_gof_by_count_w10_mean)))
119,"ts_delta_17(ta_beta_10(bar_ofi_signed_qty_sum_w10_mean, bar_gof_by_volume_w10_mean))"
120,"ta_cci_14(TA_HT_DCPERIOD(ta_dema_8(ts_argrange_5(ta_lr_angle_20(bar_ofi_signed_qty_sum_w10_trend)))), ts_wma_55(bar_gof_by_count_w10_std), ts_prod_17(TS_CORR_20(ts_min_5(ta_rocr_14(bar_ofi_signed_quote_sum_w10_mean)), ta_lr_angle_5(ts_sma_21(bar_gof_by_volume_w10_trend)))))"
121,"ta_willr_25(ts_rank_5(bar_ofi_signed_quote_sum_w10_momentum), ta_beta_10(bar_ofi_signed_quote_sum_w10_trend, bar_gof_by_count_w10_std), ta_minus_dm_25(bar_ofi_signed_qty_sum_w10_trend, bar_ofi_signed_qty_sum_w10_mean))"
122,ta_mom_12(sin(ts_argmax_20(sin(ta_tsf_20(bar_ofi_signed_qty_sum_w10_trend)))))
123,"ts_skew_10(ts_delta_3(min(ts_argrange_10(ts_std_20(bar_ofi_signed_quote_sum_w10_mean)), ta_cci_14(TS_CORR_20(bar_gof_by_count_w10_trend, bar_gof_by_count_w10_trend), ta_trima_21(bar_ofi_signed_quote_sum_w10_trend), ta_tsf_10(bar_gof_by_volume_w10_mean)))))"
